Query_ID,1,2,3,4
AILA_Q1,"""I was fired from my bank job because I was accused of mishandling money in an employee housing society where I was a secretary. I was later found not guilty in court, but the bank still won't give me my job back. Do I have any legal rights to get my position back?""","""Can a company refuse to rehire someone after they've been cleared of criminal charges that got them fired in the first place?""",,
AILA_Q2,"""I'm a government minister who had to resign after a judge made negative comments about my testimony in a bribery case. Even though I was just a witness, the judge questioned my credibility. Can I challenge these remarks that damaged my reputation?""","""If a judge makes damaging comments about your character when you're just a witness in a court case, what can you do about it? These comments forced me to resign from my position.""",,
AILA_Q3,"""I'm being prosecuted for selling contaminated food products in my store. The lab report shows illegal additives, but I think there might be a mistake. Can I challenge this in court?""","""My brother's store was accused of selling adulterated food products. He was initially found not guilty but then got sentenced on appeal. Is this legal?""",,
AILA_Q4,"""My wife filed domestic violence charges against me and my family in India, claiming we demanded more dowry money after marriage and harassed her. The court dismissed charges against my family but not against me. Can I get the case against me dismissed too?""","""What can someone do if they're accused of dowry harassment in India? My family was cleared of charges but I'm still being prosecuted.""",,
AILA_Q5,"""My family was attacked while working on our shared farmland when our neighbors claimed we didn't have the right to harvest there. One of my sons was seriously injured and needed brain surgery. The attackers were convicted but are now appealing. What kind of legal rights do we have in this situation?""","""If someone attacks you on disputed farmland and seriously injures your family member, what kind of criminal charges and punishment can they face?""",,
AILA_Q6,"""What happens if someone gets shot while trying to arrest a criminal? My cousin is a police officer and was injured attempting to make an arrest - do police families have any special legal rights in these situations?""","""If a police officer dies while trying to arrest someone, what kind of legal case is it? My brother was a cop who was killed in the line of duty and I want to understand the legal process.""",,
AILA_Q7,"""My dad was a government accountant who was convicted of stealing around 4,000 rupees and falsifying records. He got a one-year jail sentence but the court reduced his fine. Can he appeal this?""","""What happens if a government employee is caught stealing money and changing official records to cover it up? What kind of punishment do they usually get?""",,
AILA_Q8,"""My sister-in-law died by suicide after being harassed for dowry by her husband and mother-in-law. They were convicted but are now appealing. What typically happens in dowry-related death cases like this?""","""If someone's wife commits suicide after being harassed for money and gifts from her family, can the husband and in-laws be held responsible for her death?""",,
AILA_Q9,"""My brother killed my son during a family fight over farmland, but the court let him and his accomplices go free because of problems with the police investigation. Can I appeal this decision?""","""If a murder case gets dismissed because the police messed up the investigation, what options does the victim's family have to appeal?""",,
AILA_Q10,"""If five people are charged with the same crime, why was only one person's appeal accepted while the others were rejected? Is this fair?""","""My friends and I were all convicted of the same crime, but when we appealed, the court only agreed to hear one person's case and rejected the rest of us. Can they do that?""",,
AILA_Q11,"""I'm a French airline employee who was detained at the airport for not declaring watch parts in my luggage. They're keeping me in custody saying I might smuggle again. Can they hold me just based on one incident, especially since I'm having mental health issues from being detained?""","""My friend was caught bringing undeclared watches through customs. They're holding him in detention even though it's his first offense and he's becoming mentally unwell. Is this legal?""",,
AILA_Q12,"""Can someone be detained by the police just because they think they might cause public disorder in the future? My brother was arrested because of a previous incident, even though he was already out on bail for it.""","""My relative was arrested and held in jail because the police said he might be a threat to public safety - is this legal, even though he was already out on bail for the original case?""",,
AILA_Q13,"""I was fired from my job as a police officer because they found out about my old theft conviction. They claimed it was a routine termination, but later admitted the real reason in writing. Can they fire me this way, and do I have any right to get my job back?""","""Can the police department fire someone by claiming it's a regular termination, but actually doing it because of an old criminal record?""",,
AILA_Q14,"""My father was murdered, and I got revenge by killing his murderer. I was convicted but then the high court acquitted me. Now the prosecution is appealing that decision - what usually happens in cases like this?""","""If someone takes revenge by killing their father's murderer, can they claim it was justified? My friend is facing charges for a similar situation.""",,
AILA_Q15,"""My mother witnessed my father's murder and was injured trying to save him. She testified in court, but the attackers were found not guilty. Now a higher court reversed that decision - is this common in murder cases?""","""If someone sees their spouse get murdered and testifies in court, why would a judge ignore their testimony?""",,
AILA_Q16,"""What happens if someone kills their stepmother and stepsister during a family property dispute? My relative was sentenced to death but it got changed to life in prison - can they appeal this?""","""My brother killed our stepmother and stepsister during a fight about family property. He got life in prison instead of the death penalty - what are his chances of appealing this sentence?""",,
AILA_Q17,"""I was arrested for customs fraud last year and spent some time in jail, but I was released on bail. Now, 7 months later, they're suddenly trying to detain me again even though I haven't done anything wrong since then. Is this legal?""","""Can the authorities detain someone for an old customs violation if they've been following the law since getting out on bail?""",,
